Aktionsname;Aktionsdatum;Durchführendes Konto;Aktionsnummer;Masternummer;Dateiname;Nebenrechnungen
Posting Zeiten Atariage;10.01.2021 23:02:00;56;187;273051;;
Ermittlung Gesamtzeit für geplante Projekte;11.01.2021 07:38:00;31;188;273057;;
Bearb. Koordinaten Tier;11.01.2021 07:43:00;20;189;273059;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;11.01.2021 07:50:00;32;190;273060;;
div. Surfen;11.01.2021 08:39:00;73;191;273061;;
Scan div. Radiosender;11.01.2021 08:53:00;58;192;273062;;
Scootersuche;01.07.2021 17:11:00;20;2908;281816;;
Div. Surfen;01.07.2021 17:20:00;73;2909;281818;;
Anhören RW-Programm mit Papa;01.07.2021 17:46:00;9;2910;281823;;
AE / Abr. 25.-27.9.2020;01.07.2021 18:22:00;31;2911;281828;;
Bearb. Scooterkoordinaten;01.07.2021 19:27:00;20;2912;281829;;
Bearb. Playlist;01.07.2021 20:15:00;9;2913;281832;;
Ansehen YouTube-Videos;01.07.2021 20:23:00;73;2914;281836;;
MAME Jr. Pac-Man;01.07.2021 21:01:00;56;2915;281838;;
Einspielen div. Titel;01.07.2021 21:07:00;79;2916;281839;;
Scan The Jive Aces Livestream;01.07.2021 22:22:00;58;2917;281846;;
div. Surfen;02.07.2021 08:02:00;73;2918;281856;;
Aufwandserfassung;02.07.2021 08:25:00;31;2919;281861;;
Bearb. Scooterkoordinaten;02.07.2021 09:06:00;20;2920;281867;;
Scootersuche;02.07.2021 16:29:00;20;2921;281874;;
Ansehen YouTube-Videos;02.07.2021 16:42:00;73;2922;281877;;
div. Surfen;02.07.2021 18:14:00;73;2923;281878;;
Bearb. Playlist;02.07.2021 18:49:00;9;2924;281881;;
AE / Abr. 28.-30.9.2020 / Quartal;02.07.2021 18:58:00;31;2925;281886;;
Bearb. Scooterkoordinaten;02.07.2021 20:31:00;20;2926;281887;;
MAME Jr. Pac-Man;02.07.2021 20:33:00;56;2927;281888;;
Einspielen div. Titel;02.07.2021 21:20:00;79;2928;281899;;
Scan The Jive Aces Livestream;02.07.2021 23:13:00;58;2929;281901;;
Scan div. Radiosender;03.07.2021 07:23:00;58;2930;281911;;
Bearb. Playlist;03.07.2021 09:08:00;9;2931;281918;;
div. Surfen;03.07.2021 09:24:00;73;2932;281919;;
Ansehen YouTube-Videos;03.07.2021 09:54:00;73;2933;281920;;
Scan The Jive Aces Livestream;03.07.2021 10:59:00;58;2934;281923;;
Bearb. Scooterkoordinaten;03.07.2021 11:31:00;20;2935;281925;;
Bearbeitung Mails;03.07.2021 11:45:00;73;2936;281926;;
Kommentierung Video Bells of Bournville Green;03.07.2021 15:33:00;58;2937;281941;;
div. Surfen;03.07.2021 16:03:00;73;2938;281942;;
Ansehen YouTube-Videos;03.07.2021 16:25:00;73;2939;281943;;
Surfen Scootermaps u.a.;03.07.2021 18:17:00;20;2940;281944;;
Bearb. Playlist;03.07.2021 19:27:00;9;2941;281947;;
Aufwandserfassung;03.07.2021 19:48:00;31;2942;281950;;
Scan div.. Livestreams;03.07.2021 20:55:00;58;2943;281954;;
