Code;Quelle;Aktivitätsname;Vorschlag_Code;Parent;Parent Code;Kommentar
LEMTTW;MTL;Teller waschen / Granatapfelsaft fassen
LEMTTW;MTL;Weiteren Tee fassen
LEMTTW;MTL;Zubereitung Tee
LEMTTW;MTL;weiterer Tee fassen

LEMTWC;MTL;WC
LEMTWC;MTL;WC / Windeltest

LENADT;MTL;Besuch Dixi-WC Ruthnergasse
LENADT;MTL;Besuch Dixi-WC Siemensstraße

LENAJA;MTL;Nachmittagsjause fassen
LENAJA;MTL;Tee zubereiten

LENANA;MTL;Nachtmahl fassen
LENANA;MTL;Supradyn / Nachtmahl fassen
LENANA;MTL;Vorbereitung Nachtmahl
LENANA;MTL;Zubereitung Fischstäbchen
LENANA;MTL;Zubereitung Nachtmahl

LENATW;MTL;Holundersaft fassen
LENATW;MTL;Nachtmahl essen
LENATW;MTL;Tee fassen
LENATW;MTL;Teller waschen
LENATW;MTL;Teller waschen / Getränk + Biovital fassen
LENATW;MTL;Teller waschen / Getränk + Supradyn fassen
LENATW;Learned;Holundersaft zuckerfrei fassen
LENATW;Learned;Mini Schokokeks fassen
LENATW;Learned;Teller waschen / Getränk + Medikament fassen
LENATW;Learned;Teller waschen / Getränk + Medikament fassen / Ausräumen Geschirrspüler
LENATW;Learned;Teller waschen / Getränk + Medikament fassen / Eintragen gegessen in Essensplan
LENATW;Learned;Teller waschen / Getränk fassen
LENATW;Learned;Teller waschen / Wasser fassen
LENATW;Learned;Teller waschen, Holundersaft zuckerfrei fassen

LEPLES;Learned;Lesen Ewigen Speiseplan
LEPLES;Learned;Mail Ewigen Speiseplan an Michael Kainz
LEPLES;Learned;Versand Ewigen Speiseplan an Michael Kainz

LEPOPO;MTL;Auspacken Teamgrillen
LEPOPO;MTL;Versorgung Mitbringsel

MUOWAS;MTL;Bearb. Liste auswendig singbarer Titel
MUOWAS;MTL;Bearb. Ohrwürmer (Liste auswendig singbarer Titel)

MUOWSP;MTL;Starten Youtube-Playlist
MUOWSP;Learned;Starten Playlist

PAPERL;MTL;Update Personenliste aus Rücklauf von Einladungen Begräbnis
